1 00:00:03,946 --> 00:00:05,368 Speaker SPEAKER_01: 嗨，大家好。
52 00:06:30,329 --> 00:06:37,939 讲者 SPEAKER_10：关于 Feifei，我们还可以说很多，但她也培养出了许多学生，他们在全球范围内成为了该领域的领导者。
53 00:06:38,781 --> 00:06:46,232 说话人 SPEAKER_10: 真的是非常重要，所以对于那些还没有听说的人，Feifei 将在几周后出版一本书。
54 00:06:46,752 --> 00:06:49,016 说话人 SPEAKER_10: 它将于 11 月 7 日出版。
55 00:06:49,596 --> 00:06:54,286 说话人 SPEAKER_10: 书名为《我看的世界：AI 黎明时期的探索、发现与好奇心》。
56 00:06:55,026 --> 00:06:55,468 说话人 SPEAKER_10: 我已经读过了。
57 00:06:55,649 --> 00:06:56,410 说话人 SPEAKER_10: 太棒了。
58 00:06:57,331 --> 00:06:58,473 说话人 SPEAKER_10: 你们都应该出去买。
59 00:06:58,634 --> 00:07:07,149 说话人 SPEAKER_10: 我会读给你听 Jeff 写的书脊说明，因为它比我说的要好得多。
60 00:07:07,290 --> 00:07:10,295 说话人 SPEAKER_10: 所以这是 Jeff 的描述。
61 00:07:10,867 --> 00:07:17,213 讲者 SPEAKER_10：李飞飞是第一位真正理解大数据力量的计算机视觉研究者，她的工作为深度学习打开了大门。
62 00:07:17,773 --> 00:07:29,144 讲者 SPEAKER_10：她提供了对她帮助释放的 AI 技术巨大潜力与危险的紧迫、清醒的描述，她在这一历史关键时刻的行动呼吁和集体责任感是迫切需要的。
63 00:07:29,764 --> 00:07:34,127 讲者 SPEAKER_10：所以我敦促你们所有人去预订这本书，并在它出版后尽快阅读。
64 00:07:34,848 --> 00:07:39,473 讲者 SPEAKER_10：至此，感谢 Fei-Fei 和李杰加入我们。
65 00:07:46,675 --> 00:07:56,468 说话人 SPEAKER_10: 好吧，我认为说没有这两个人，现代人工智能时代就不存在，至少不是以它现在这种方式存在，这并不夸张。
66 00:07:56,747 --> 00:08:01,254 说话人 SPEAKER_10: 好吧，让我们回到我认为的宇宙大爆炸时刻，AlexNet 和 ImageNet。
67 00:08:01,954 --> 00:08:07,502 说话人 SPEAKER_10: 也许杰夫，你能从你的角度带我们回顾一下那个时刻，也就是 11 年前？
68 00:08:07,533 --> 00:08:21,860 说话人 SPEAKER_12: 好吧，2012 年，我的两位非常聪明的博士生赢得了一项公开竞赛，并展示了深度神经网络可以比现有技术做得更好。
69 00:08:21,879 --> 00:08:26,249 说话人 SPEAKER_12：现在，如果没有可以用来训练的大数据集，这是不可能的。
70 00:08:26,269 --> 00:08:30,216 说话人 SPEAKER_12：在此之前，还没有一个标注好的图像大数据集。
71 00:08:30,415 --> 00:08:33,583 说话人 SPEAKER_12：而 Fei-Fei 负责了这个数据集。
72 00:08:33,884 --> 00:08:39,902 说话人 SPEAKER_12：我想先问 Fei-Fei，在组建这个数据集的过程中有没有遇到什么问题。
73 00:08:42,126 --> 00:08:43,288 说话人 SPEAKER_05: 嗯，谢谢，Jeff。
74 00:08:43,369 --> 00:08:44,429 说话人 SPEAKER_05: 也谢谢，Jordan。
75 00:08:44,509 --> 00:08:47,094 说话人 SPEAKER_05: 感谢多伦多大学，谢谢。
76 00:08:47,193 --> 00:08:48,897 说话人 SPEAKER_05: 能在这里真的很开心。
77 00:08:49,397 --> 00:08:52,942 说话人 SPEAKER_05：是的，你提到的数据集叫做 ImageNet。
78 00:08:53,302 --> 00:09:03,417 说话人 SPEAKER_05：我是在 2007 年开始构建它的，接下来的三年里，基本上都是我和我的研究生在构建它。
79 00:09:04,158 --> 00:09:07,342 说话人 SPEAKER_05：你问我构建它时有没有遇到问题？
80 00:09:07,363 --> 00:09:10,868 说话人 SPEAKER_05：我从哪里开始说起呢？
81 00:09:10,847 --> 00:09:19,097 说话人 SPEAKER_05：即使在项目的构想阶段，我就被告知这真是一个糟糕的想法。
82 00:09:19,118 --> 00:09:22,501 说话人 SPEAKER_05：我当时是一名年轻的助理教授。
83 00:09:22,642 --> 00:09:27,087 说话人 SPEAKER_05：我记得那是我作为普林斯顿大学助理教授的第一年。
84 00:09:27,107 --> 00:09:36,619 说话人 SPEAKER_05：例如，我的一个在学术界非常受尊敬的导师，如果你了解学术术语的话。
85 00:09:36,599 --> 00:09:50,884 讲者 SPEAKER_05：这些人将会写我的任期评估，他们实际上非常诚恳地告诉我，在我告诉他们 2007 年这个计划后，请不要这样做。
86 00:09:50,924 --> 00:09:54,952 讲者 SPEAKER_12：那么那应该是 jitendra，对吧？
87 00:09:55,614 --> 00:09:59,080 讲者 SPEAKER_05：建议是
88 00:10:00,258 --> 00:10:03,821 讲者 SPEAKER_05：如果你这样做，可能会在获得终身教职上遇到麻烦。
89 00:10:04,881 --> 00:10:17,754 说话人 SPEAKER_05: 然后我也试图邀请其他合作者，但机器学习和人工智能领域没有人愿意接近这个项目。
90 00:10:18,534 --> 00:10:20,135 说话人 SPEAKER_05: 当然，没有资金支持。
91 00:10:20,937 --> 00:10:24,159 说话人 SPEAKER_10: 对。
92 00:10:24,179 --> 00:10:27,682 说话人 SPEAKER_10: 向我们描述一下 ImageNet，对于不熟悉的人来说。
93 00:10:27,966 --> 00:10:38,580 讲者 SPEAKER_05: 嗯，所以 ImageNet 是在 2006 年左右，2007 年左右构思的，我构思 ImageNet 的原因实际上有两个方面。
94 00:10:38,980 --> 00:10:46,090 讲者 SPEAKER_05: 其中一个是，杰夫，我认为我们有着相似的背景，我是一名科学家的训练。
95 00:10:46,169 --> 00:10:49,573 讲者 SPEAKER_05: 对于我来说，做科学就是追逐北极星。
96 00:10:50,075 --> 00:10:56,302 讲者 SPEAKER_05: 在人工智能领域，尤其是在视觉智能领域，对我来说，物体识别，这种能力
97 00:10:56,283 --> 00:11:06,054 讲者 SPEAKER_05：对于计算机识别图片中的桌子或椅子，这被称为物体识别，必须是我们领域的一个北极星问题。
98 00:11:06,535 --> 00:11:11,062 讲者 SPEAKER_05：我觉得我们真的需要在这个问题上取得突破。
99 00:11:11,381 --> 00:11:13,524 讲者 SPEAKER_05：所以我想要定义这个北极星问题。
100 00:11:13,684 --> 00:11:16,269 讲者 SPEAKER_05：这是 ImageNet 的一个方面。
101 00:11:16,288 --> 00:11:25,259 说话人 SPEAKER_05：ImageNet 的第二个方面是意识到当时机器学习有点在原地打转，我们正在制作非常复杂的模型，却没有足够的数据来驱动机器学习。
102 00:11:25,746 --> 00:11:31,315 说话人 SPEAKER_05：当然，用我们的行话来说，这实际上是泛化问题，对吧？
103 00:11:31,355 --> 00:11:36,120 说话人 SPEAKER_05：我认识到我们真的需要重置一下，从数据驱动的角度重新思考机器学习。
104 00:11:36,140 --> 00:11:45,394 说话人 SPEAKER_05：并且我认识到我们真的需要重置一下，从数据驱动的角度重新思考机器学习。
105 00:11:45,433 --> 00:11:51,601 讲者 SPEAKER_05：我想疯狂一下，制作一个前所未有的数据集。
106 00:11:52,054 --> 00:11:55,821 讲者 SPEAKER_05：关于数量、多样性以及一切。
107 00:11:55,941 --> 00:12:13,505 讲者 SPEAKER_05：经过三年的努力，ImageNet 成为了一个精心挑选的互联网图像数据集，总共有 1500 万张图片，涵盖了 22000 个概念、物体类别概念。
108 00:12:13,966 --> 00:12:16,610 讲者 SPEAKER_05：这就是那个数据集。
109 00:12:17,350 --> 00:12:28,163 说话人 SPEAKER_12: 仅作比较，在多伦多同一时间，我们制作了一个名为 CIFAR-10 的数据集，它包含 10 个不同的类别和 60,000 张图片，这是一项大量工作。
110 00:12:28,903 --> 00:12:33,308 说话人 SPEAKER_12: 这个数据集得到了 CIFAR 的慷慨赞助，每张图片五美分。
111 00:12:35,370 --> 00:12:38,355 说话人 SPEAKER_10: 因此，您将数据集变成了一个竞赛。
112 00:12:38,956 --> 00:12:44,201 说话人 SPEAKER_10: 请简要介绍一下这意味着什么，然后我们将快速跳到 2012 年。
113 00:12:44,467 --> 00:12:44,768 说话人 SPEAKER_05: 对。
114 00:12:45,668 --> 00:12:47,812 说话人 SPEAKER_05: 所以我们在 2009 年制作了这个数据集。
115 00:12:48,972 --> 00:12:56,642 说话人 SPEAKER_05: 我们几乎在学术会议上做成海报，但没有人注意。
116 00:12:57,142 --> 00:12:59,184 说话人 SPEAKER_05: 所以我当时有点绝望。
117 00:12:59,946 --> 00:13:04,890 说话人 SPEAKER_05：我认为这是正确的方向，并且我们已经开源了它。
118 00:13:05,351 --> 00:13:07,354 说话人 SPEAKER_05：但是即使开源，
119 00:13:08,683 --> 00:13:11,707 说话人 SPEAKER_05：它并没有真正流行起来。
120 00:13:11,727 --> 00:13:18,755 说话人 SPEAKER_05：所以我和我的学生们想，好吧，让我们增加一点竞争的动力。
121 00:13:18,775 --> 00:13:27,866 讲者 SPEAKER_05：让我们举办一场竞赛，邀请全球研究社区参与这个通过 ImageNet 进行物体识别的问题。
122 00:13:27,886 --> 00:13:36,716 讲者 SPEAKER_05：所以我们举办了 ImageNet 竞赛，我们从朋友和同事那里得到的第一个反馈是它太大了。
123 00:13:37,000 --> 00:13:44,105 讲者 SPEAKER_05：当时你无法将其装入硬盘，更不用说内存了。
124 00:13:44,667 --> 00:13:57,899 讲者 SPEAKER_05：因此，我们实际上创建了一个较小的数据集，称为图像挑战数据集，它包含 1000 个类别中的 100 万张图片，而不是 22000 个类别。
125 00:13:58,278 --> 00:14:03,003 说话者 SPEAKER_05: 我认为这始于 2010 年。
126 00:14:03,504 --> 00:14:07,006 说话者 SPEAKER_05: 你们在 2011 年注意到了，对吧？
127 00:14:06,986 --> 00:14:14,620 说话者 SPEAKER_12: 所以在我的实验室里，我们已经有深度神经网络在语音识别方面工作得相当好了。
128 00:14:15,702 --> 00:14:21,552 说话者 SPEAKER_12: 然后伊利亚·苏茨克维尔说，我们拥有的东西应该能够赢得 ImageNet 竞赛。
129 00:14:22,124 --> 00:14:25,530 说话人 SPEAKER_12：他试图说服我我们应该这么做。
130 00:14:25,591 --> 00:14:27,635 说话人 SPEAKER_12：我说，嗯，你知道，数据量很大。
131 00:14:28,317 --> 00:14:35,251 说话人 SPEAKER_12：他试图说服他的朋友亚历克斯·克日什科夫斯基，但亚历克斯并不感兴趣。
132 00:14:36,313 --> 00:14:40,503 说话人 SPEAKER_12：所以伊利亚实际上预处理了所有数据，以便将其放入亚历克斯需要的格式。
133 00:14:40,523 --> 00:14:42,748 说话人 SPEAKER_05: 你缩小了图片的大小。
134 00:14:42,727 --> 00:14:44,450 说话人 SPEAKER_12: 是的，他稍微缩小了图片。
135 00:14:45,091 --> 00:14:46,072 说话人 SPEAKER_05: 嗯，我记得。
136 00:14:46,153 --> 00:14:50,259 说话人 SPEAKER_12: 然后为 Alex 进行了适当的预处理，然后 Alex 最终同意这么做。
137 00:14:51,039 --> 00:15:03,037 说话人 SPEAKER_12：与此同时，在纽约 Yann LeCun 的实验室里，Yann 正拼命地试图让他的学生和博士后们处理这个数据集，因为他表示，第一个将卷积网络应用于这个数据集的人将会获胜。
138 00:15:03,096 --> 00:15:05,399 说话人 SPEAKER_12：然而，他的学生都没有兴趣。
139 00:15:05,419 --> 00:15:06,721 说话人 SPEAKER_12：他们都在忙于其他事情。
140 00:15:07,543 --> 00:15:10,827 说话人 SPEAKER_12：于是 Alex 和 India 开始着手处理。
141 00:15:11,634 --> 00:15:21,091 说话人 SPEAKER_12：通过在上一年度的比赛中运行，我们发现我们的表现比其他技术要好得多，所以我们知道我们将在 2012 年比赛中获胜。
142 00:15:22,014 --> 00:15:32,513 说话人 SPEAKER_12：然后出现了这个问题，我们认为如果我们证明神经网络在这场比赛中获胜，计算机视觉领域的人，特别是 Jitendra，会说，嗯，这仅仅表明数据集不太好。
143 00:15:32,594 --> 00:15:38,679 说话人 SPEAKER_12：所以我们必须在比赛前让他们同意，如果我们获胜，我们就证明了神经网络是有效的。
144 00:15:40,162 --> 00:15:45,427 说话人 SPEAKER_12：因此，我们必须让他们事先同意，如果我们获胜，我们就证明了神经网络是有效的。
145 00:15:45,888 --> 00:15:59,461 说话人 SPEAKER_12：所以我实际上给 Jitendra 打了电话，我们讨论了我们可能运行的数据库，我的目标是让 Jitendra 同意，如果我们能做 ImageNet，那么神经网络真的有效。
146 00:15:59,442 --> 00:16:09,030 说话人 SPEAKER_12：经过一番讨论，他建议我做其他数据库，我们最终达成一致，好吧，如果我们能做 ImageNet，那么我们就证明了神经网络的有效性。
147 00:16:09,051 --> 00:16:15,037 说话人 SPEAKER_12：Jitendra 记得是他建议的 ImageNet，是他建议我们做的，但实际上情况正好相反。
148 00:16:15,057 --> 00:16:20,201 说话人 SPEAKER_12：我们做到了，这太令人惊讶了。
我们得到了标准技术的错误率的一半以上，而标准技术已经被非常优秀的研究人员调优了多年
150 00：16：27,623 --> 00：16：34,618 演讲者 SPEAKER_05：我记得当时的标准技术，前一年是带稀疏化的支持向量机。
151 00：16：36,000 --> 00：16：46,121 演讲者 SPEAKER_05：所以你们提交了比赛结果，我想是八月底或九月初。
我记得有一天晚上，我的学生给我打电话或发邮件，因为他们正在运行这个，因为我们持有测试数据。
153 00:16:58,337 --> 00:17:00,261 说话人 SPEAKER_05：我们在服务器端运行。
154 00:17:00,822 --> 00:17:07,653 说话人 SPEAKER_05：目标是处理所有条目，以便我们选择获胜者，然后
155 00:17:08,241 --> 00:17:23,044 说话人 SPEAKER_05：我认为那是在那年的十月初，计算机视觉领域国际会议，ICCV 2012，在意大利佛罗伦萨举行。
156 00:17:23,505 --> 00:17:27,330 说话人 SPEAKER_05：我们已经预订了研讨会，会议的年度研讨会。
157 00:17:27,671 --> 00:17:30,115 说话人 SPEAKER_05: 我们将宣布获胜者。
158 00:17:30,095 --> 00:17:37,723 说话人 SPEAKER_05: 今年是第三届，所以在处理获奖团队之前，我们还有几周的时间。
159 00:17:38,404 --> 00:17:44,192 说话人 SPEAKER_05: 因为这是第三届，坦白说，前两年的结果并没有让我感到兴奋。
160 00:17:44,972 --> 00:17:50,700 说话人 SPEAKER_05: 那时我还是个哺乳期的母亲，所以我决定不去第三届。
161 00:17:50,720 --> 00:17:52,382 说话人 SPEAKER_05：所以我没订票。
162 00:17:53,021 --> 00:17:55,224 说话人 SPEAKER_05：对我来说太远了。
163 00:17:55,744 --> 00:17:57,412 说话人 SPEAKER_05：然后结果就出来了。
164 00:17:57,451 --> 00:18:02,311 说话人 SPEAKER_05：那天晚上的电话或邮件，我真的不记得了。
165 00:18:02,352 --> 00:18:04,741 说话人 SPEAKER_05: 我记得...
166 00:18:05,178 --> 00:18:10,684 说话人 SPEAKER_05: 我记得对自己说，该死，杰夫，现在我得去订一张去意大利的票。
167 00:18:11,205 --> 00:18:23,001 说话人 SPEAKER_05: 因为我知道那是一个非常重要的时刻，特别是在卷积神经网络方面，这是我作为研究生学习的一个经典算法。
168 00:18:23,021 --> 00:18:27,928 说话人 SPEAKER_05: 当然，那时候经济舱只剩下中间的座位了。
169 00:18:27,907 --> 00:18:34,978 说话人 SPEAKER_05：从旧金山飞往佛罗伦萨，中途经停一次。
170 00:18:34,998 --> 00:18:43,530 说话人 SPEAKER_05：所以去佛罗伦萨的旅程非常辛苦，但我想去那里。
171 00:18:43,790 --> 00:18:44,692 说话人 SPEAKER_05: 但是你没有来。
172 00:18:45,472 --> 00:18:49,799 说话人 SPEAKER_12: 没有，我没有。
173 00:18:49,819 --> 00:18:52,784 说话人 SPEAKER_12: 嗯，那是一次艰苦的旅程。
174 00:18:52,804 --> 00:18:55,688 说话人 SPEAKER_05: 但是你知道那将是一个历史时刻吗？
175 00:18:55,836 --> 00:18:59,044 说话人 SPEAKER_12: 是的，我确实做了。
176 00:18:59,605 --> 00:19:00,826 说话人 SPEAKER_05: 但是你派了 Alex。
177 00:19:01,008 --> 00:19:02,029 说话人 SPEAKER_12: Alex，是的。
178 00:19:02,711 --> 00:19:04,394 说话人 SPEAKER_12: 是不是忽略了你的所有建议，对吧？
179 00:19:04,515 --> 00:19:09,605 说话人 SPEAKER_05：因为我感觉这个太酷了，所以连续多次忽略了我的邮件。
180 00:19:09,625 --> 00:19:12,832 说话人 SPEAKER_05：请做这个可视化，这个可视化。
181 00:19:13,292 --> 00:19:13,953 说话人 SPEAKER_05：他忽略了我。
182 00:19:14,394 --> 00:19:16,680 说话人 SPEAKER_05：但是 Yann LeCun 来了。
183 00:19:16,660 --> 00:19:24,369 讲者 SPEAKER_05：因为对于那些参加过这些学术会议研讨会的你们来说，你们往往会预订这些小房间。
184 00:19:24,891 --> 00:19:29,477 讲者 SPEAKER_05：我们预订了一个非常小的房间，可能就是这里的中间部分。
185 00:19:29,958 --> 00:19:35,545 讲者 SPEAKER_05：我记得杨得站在房间的后面，因为人真的很多。
186 00:19:36,365 --> 00:19:42,213 讲者 SPEAKER_05：亚历克斯最终还是出现了，因为我真的很担心他可能不会出现。
187 00:19:42,775 --> 00:19:45,417 说话人 SPEAKER_05: 正如你所预测的，
188 00:19:45,397 --> 00:19:48,821 说话人 SPEAKER_05: 在那次研讨会上，ImageNow 正在被攻击。
189 00:19:50,484 --> 00:19:57,433 说话人 SPEAKER_05: 在那次研讨会上，有人公开抨击，这是一个糟糕的数据集。
190 00:19:58,375 --> 00:19:58,935 说话人 SPEAKER_12: 在房间里。
191 00:19:59,355 --> 00:19:59,916 说话人 SPEAKER_12: 在房间里。
192 00:19:59,936 --> 00:20:00,837 说话人 SPEAKER_12: 在演示过程中。
193 00:20:00,917 --> 00:20:01,218 说话人 SPEAKER_05: 在房间里。
194 00:20:01,278 --> 00:20:04,722 说话人 SPEAKER_12: 但不是 Jitendra，因为 Jitendra 已经同意这算数。
195 00:20:05,902 --> 00:20:08,505 讲者 SPEAKER_05: 我认为 Jitendra 不在房间里，我不记得了。
196 00:20:09,026 --> 00:20:23,664 讲者 SPEAKER_05: 但我记得那对我来说是一个非常奇怪的瞬间，因为我作为一个机器学习研究者，我知道历史正在被创造，然而 ImageNet 正受到攻击。
197 00:20:23,704 --> 00:20:28,330 讲者 SPEAKER_05: 那是一个非常奇怪的、令人兴奋的时刻。
198 00:20:28,592 --> 00:20:33,478 讲者 SPEAKER_05: 然后我不得不坐到中间的座位上，然后回到旧金山，因为第二天早上，
199 00:20:33,593 --> 00:20:37,278 说话人 SPEAKER_10: 所以您提到了一些我稍后想再谈一谈的人。
200 00:20:37,318 --> 00:20:45,874 说话人 SPEAKER_10: 所以，Ilya，他是 OpenAI 的创始人和首席科学家，以及 Yann LeCun，他后来成为了 Facebook（现 Meta）AI 部门的主管。
201 00:20:46,674 --> 00:20:50,201 说话人 SPEAKER_10: 并且还有其他一些有趣的人。
202 00:20:51,041 --> 00:20:58,555 说话人 SPEAKER_10: 在我们继续前进，看看那个繁荣时刻创造了什么之前，让我们先回顾一下。
203 00:20:59,277 --> 00:21:07,730 两位都带着非常具体的目标开始这项工作，这个目标是个人的，我认为也是具有颠覆性的。
204 00:21:07,851 --> 00:21:13,119 而你们必须坚持通过你所描述的那些时刻，贯穿你们整个职业生涯。
205 00:21:13,461 --> 00:21:15,063 你能回到刚才，杰夫，也许，开始讲？
206 00:21:15,503 --> 00:21:18,990 能给我们介绍一下你最初为什么想进入人工智能领域吗？
207 00:21:20,236 --> 00:21:23,182 说话人 SPEAKER_12：我在本科时学习心理学。
208 00:21:23,763 --> 00:21:24,786 说话人 SPEAKER_12：我在那门课上表现不太好。
209 00:21:25,807 --> 00:21:31,299 说话人 SPEAKER_12：我决定，除非他们弄清楚大脑是如何工作的，否则他们永远无法弄清楚心智是如何运作的。
210 00:21:32,461 --> 00:21:35,628 说话人 SPEAKER_12：所以我想要弄清楚大脑是如何工作的。
211 00:21:35,608 --> 00:21:38,972 说话人 SPEAKER_12：我想有一个真正能工作的模型。
212 00:21:38,992 --> 00:21:42,056 说话人 SPEAKER_12：所以你可以把理解大脑想象成建造一座桥梁。
213 00：21：42,115 --> 00：21：54,250 演讲者 SPEAKER_12：有实验数据，你可以从实验数据中学到东西，有些东西可以做你想要的计算，有些东西可以识别物体，它们非常不同。
214 00：21：55,310 --> 00：22：03,759 演讲者 SPEAKER_12：我认为你想在数据和能力之间架起一座桥梁，在完成任务的能力之间架起一座桥梁，
215 00：22：03,824 --> 00：22：12,253 演讲者 SPEAKER_12：我总是认为自己从工作的事情的结尾开始，但试图让它们越来越像大脑，但仍然有效。
216 00：22：12,273 --> 00：22：21,144 演讲者 SPEAKER_12：其他人试图坚持用经验数据证明的事情，并尝试提出可能有效的理论。
