1 00:00:02,410 --> 00:00:06,495 说话人 SPEAKER_00: 为本视频的主题人物 Geoffrey Hinton 写一个简短的介绍。
126 00:11:25,057 --> 00:11:27,942 说话人 SPEAKER_01：我该如何改变网络中的所有连接强度？
127 00:11:29,273 --> 00:11:34,945 说话人 SPEAKER_01：所以，与其说“0.5 是鸟”，假设它是鸟，它说“0.51 是鸟”。
128 00:11:35,706 --> 00:11:42,000 说话人 SPEAKER_01：所以你想问的问题是，我该如何改变特定的连接强度，使其更有可能是鸟？
129 00:11:43,245 --> 00:11:49,075 说话人 SPEAKER_01：你可以通过计算你得到的结果和你想要的结果之间的差异来找出这一点。
130 00:11:49,434 --> 00:11:52,359 说话人 SPEAKER_01：你想要一个，实际上得到了 0.5。
131 00:11:52,600 --> 00:11:56,505 说话人 SPEAKER_01：你计算这个差异，并将这个差异反向传递到网络中。
132 00:11:57,125 --> 00:11:59,129 说话人 SPEAKER_01：然后你使用一些微积分，这个我不会解释。
133 00:12:00,451 --> 00:12:05,658 说话人 SPEAKER_01：你能够计算网络中每个连接
134 00:12:05,639 --> 00:12:11,788 说话人 SPEAKER_01：你希望将其放大或缩小，以便更有可能说出“鸟”
135 00:12:12,350 --> 00:12:17,097 说话人 SPEAKER_01：然后你非常轻微地调整所有连接强度，使其更有可能说出“鸟”
136 00:12:18,000 --> 00:12:23,269 说话人 SPEAKER_01：然后你展示一些不是鸟的东西，现在你需要调整连接强度，使其不太可能认为那是一只鸟
137 00:12:24,770 --> 00:12:31,663 说话人 SPEAKER_01：你就这样一直进行下去，用很多鸟类和非鸟类，最终你会发现它是
138 00:12:31,863 --> 00:12:33,505 说话人 SPEAKER_01：发现了所有这些特征检测器。
139 00:12:33,525 --> 00:12:38,153 说话人 SPEAKER_01：它会发现类似喙的东西、类似眼睛的东西，以及检测脚和翅膀等所有这些。
140 00:12:38,994 --> 00:12:50,452 说话人 SPEAKER_01：如果你在成千上万的不同物体上训练它，比如一千种不同类别的物体，它会发现很好的中间特征检测器，这些检测器非常适合识别各种事物。
141 00:12:51,595 --> 00:12:56,081 说话人 SPEAKER_01：所以这个魔法在于有一个相对简单的算法叫做反向传播，
142 00:12:56,315 --> 00:13:09,673 说话人 SPEAKER_01：它将输出中的误差反向传递到网络中，并通过所有连接计算出应该如何改变它们以改善行为，然后你将它们都改变一点点，然后继续用另一个例子进行。
143 00:13:11,115 --> 00:13:13,779 说话人 SPEAKER_01：令人惊讶的是，这实际上有效。
144 00:13:14,541 --> 00:13:18,225 说话人 SPEAKER_01：多年来，人们认为这会陷入僵局，会在某个地方卡住。
145 00:13:18,567 --> 00:13:19,227 说话人 SPEAKER_01：但是，不是这样的。
146 00:13:19,248 --> 00:13:20,450 说话人 SPEAKER_01：实际上工作得非常好。
147 00:13:22,552 --> 00:13:25,697 说话人 SPEAKER_00：我很好奇，神经网络是如何处理语言的？
148 00:13:27,870 --> 00:13:32,678 说话人 SPEAKER_01：好的，现在你已经了解了我们是如何训练它来识别鸟的。
149 00:13:33,399 --> 00:13:45,681 说话人 SPEAKER_01：现在假设我们以一串词作为输入，你首先要做的事情是将一个词转换成一个嵌入向量。
150 00:13:46,302 --> 00:13:52,292 说话人 SPEAKER_01：也就是说，它是一小堆数字，用来捕捉词的意义，或者说是试图捕捉词的意义。
151 00:13:53,572 --> 00:13:58,057 说话人 SPEAKER_01：因此，在词之后的第一层将是每个词的嵌入向量。
152 00:13:59,758 --> 00:14:13,052 说话人 SPEAKER_01：现在我们将有很多嵌入向量的层，随着我们通过网络向上移动，我们将使词的嵌入向量越来越好，因为它们将考虑越来越多的上下文信息。
153 00:14:14,113 --> 00:14:18,238 说话人 SPEAKER_01：那么假设在这个句子中，我们假设没有任何大写字母，好吗？
154 00:14:18,638 --> 00:14:21,620 说话人 SPEAKER_01：那么假设在这个句子中，你有一个单词“May”。
155 00:14:23,136 --> 00:14:27,942 说话人 SPEAKER_01：嗯，最可能的意义是“May”是一个情态动词，比如“他可能会做那件事”。
156 00:14:29,764 --> 00:14:32,466 说话人 SPEAKER_01：但显然“May”还有完全不同的意义，即月份。
157 00:14:34,009 --> 00:14:39,554 说话者 SPEAKER_01：最初，它不知道，只看单词“五月”，不知道该使用哪个嵌入向量。
158 00:14:40,956 --> 00:14:50,966 说话者 SPEAKER_01：它将使用一种折衷向量，介于代表模态的“五月”嵌入向量和代表月份的“五月”嵌入向量之间的某种东西。
159 00:14:52,650 --> 00:14:56,256 说话者 SPEAKER_01：然后在下一层，它将细化这个向量。
160 00:14:57,138 --> 00:15:02,365 说话者 SPEAKER_01：它将根据得到的上下文，根据附近的嵌入向量，制作一个稍微更好的向量。
161 00:15:03,028 --> 00:15:13,124 说话人 SPEAKER_01：例如，如果附近有六月嵌入向量，那么它将使五月的嵌入向量更接近月份，而不是模态。
162 00:15:14,405 --> 00:15:19,013 说话人 SPEAKER_01：但如果附近有木材的嵌入向量，它将使它更接近模态，而不是月份。
163 00:15:21,337 --> 00:15:26,964 说话人 SPEAKER_01：当你通过网络时，它可以对这些嵌入向量进行细化，使它们变得越来越好。
164 00:15:28,065 --> 00:15:34,671 说话人 SPEAKER_01：我们将通过给它一个单词序列作为输入来训练它。
165 00:15:36,552 --> 00:15:39,735 说话人 SPEAKER_01：我们将这样做，这里将是一种方法。
166 00:15:39,755 --> 00:15:41,999 说话人 SPEAKER_01：这并不是确切的做法，但很容易理解。
167 00:15:42,899 --> 00:15:46,802 说话人 SPEAKER_01：对于最后一个词，你只需放入一个中性的词。
168 00:15:46,823 --> 00:15:48,325 说话人 SPEAKER_01：你说未知。
169 00:15:48,389 --> 00:15:52,875 说话人 SPEAKER_01：它有一个非常模糊的嵌入向量，几乎是所有单词向量的平均值。
170 00:15:52,975 --> 00:15:54,217 说话人 SPEAKER_01：它不知道，对吧？
171 00:15:55,339 --> 00:16:02,129 说话人 SPEAKER_01：现在当你通过网络前进时，最后一个单词将能够受到前面单词的影响。
172 00:16:03,631 --> 00:16:08,940 说话人 SPEAKER_01：它一开始非常模糊，但随着通过这些层，它可以变得越来越精确。
173 00:16:10,022 --> 00:16:14,227 说话人 SPEAKER_01：当你到达网络末端时，嵌入向量可能看起来像某个特定单词的嵌入向量，或者是一些单词组合的嵌入向量。
174 00:16:14,932 --> 00:16:23,461 说话人 SPEAKER_01：或者，嵌入向量可能看起来像某些单词组合的嵌入向量，或者是几个单词的平均嵌入向量。
175 00:16:25,024 --> 00:16:39,759 说话人 SPEAKER_01：通过这些层进行训练，你希望最后一个单词的嵌入向量看起来像文本中实际存在的单词的嵌入向量。
176 00:16:40,735 --> 00:16:42,221 说话人 SPEAKER_01：这就是它预测下一个单词的方式。
177 00:16:43,024 --> 00:16:52,298 说话者 SPEAKER_01：它试图将这种中性的嵌入向量转换为与文本中出现的正确单词的嵌入向量相近的向量。
178 00:16:53,880 --> 00:17:02,951 说话者 SPEAKER_01：然后你计算误差，即文本中的嵌入向量与生成的嵌入向量之间的差异，并将这个误差反向传播通过网络。
179 00:17:03,552 --> 00:17:12,541 说话者 SPEAKER_01：它正向反向通过层传播，但它是从这个词传播到前面的词，这样它们就能对这个词产生正确的影响。
180 00:17:13,702 --> 00:17:17,528 说话者 SPEAKER_01：这就是反向传播算法学习预测下一个单词。
181 00:17:18,808 --> 00:17:22,452 说话人 SPEAKER_02：尽管在这个领域有一些理论上的突破，
182 00:17:22,770 --> 00:17:25,815 说话人 SPEAKER_02：这些神经网络长时间以来效果并不好。
183 00:17:26,695 --> 00:17:27,256 说话人 SPEAKER_02：那是什么原因呢？
184 00:17:28,597 --> 00:17:30,059 说话人 SPEAKER_01：这是多种原因的综合。
185 00:17:31,000 --> 00:17:33,403 说话人 SPEAKER_01：所以我们在这方面不是很擅长。
186 00:17:33,964 --> 00:17:36,647 说话人 SPEAKER_01：也就是说，我说你放入随机权重，然后学习所有内容。
187 00:17:37,308 --> 00:17:44,037 说话人 SPEAKER_01：但是如果你没有仔细决定随机权重的类型，那么这个系统就无法起飞。
188 00:17:44,017 --> 00:17:48,681 说话人 SPEAKER_01：所以这是它们在具有许多特征检测器层的深度网络中工作不很好的技术原因之一。
189 00:17:49,122 --> 00:17:53,645 说话人 SPEAKER_01：但主要原因是我们的计算能力不足，数据也不够。
190 00:17:54,186 --> 00:17:59,672 说话人 SPEAKER_01：所以人们试图在没有太多计算能力的情况下，在相对较小的训练集上训练这些网络。
191 00:18:00,633 --> 00:18:03,335 说话人 SPEAKER_01：在那个环境下，其他方法效果更好。
192 00:18:03,976 --> 00:18:07,479 说话人 SPEAKER_01：神经网络真正发挥作用的条件是有大量数据和强大的计算能力。
193 00:18:08,039 --> 00:18:11,182 说话人 SPEAKER_01：然后你可以使用一个大型的神经网络，然后它比其他任何东西都工作得更好。
194 00:18:12,063 --> 00:18:13,904 说话人 SPEAKER_01：当时我们没有意识到这一点。
195 00:18:14,257 --> 00:18:19,424 说话人 SPEAKER_01：所以我们会偶尔幻想，嗯，假设你有很多更多的数据和更大的计算机，它会工作得更好。
196 00:18:19,464 --> 00:18:21,568 说话人 SPEAKER_01：但我们没有意识到它会好得多。
197 00:18:22,410 --> 00:18:30,923 说话者 SPEAKER_01：所以在 20 世纪 90 年代，神经网络处于相对沉寂的时期，因为其他方法在小问题上表现更好。
198 00:18:32,326 --> 00:18:36,432 说话者 SPEAKER_01：当时很多计算机科学领域的人放弃了神经网络。
199 00:18:37,814 --> 00:18:44,463 说话者 SPEAKER_01：但在心理学领域，他们并没有放弃，因为在心理学领域，他们想要的是类似大脑的东西，而神经网络显然比符号人工智能更接近大脑。
200 00:18:44,923 --> 00:18:48,710 说话者 SPEAKER_01：但在计算机科学领域，神经网络在 90 年代有点声名狼藉。
201 00:18:49,750 --> 00:18:52,935 说话人 SPEAKER_02：那么让我们快进到另一个十年，即 2000 年代。
202 00:18:54,979 --> 00:19:02,089 说话人 SPEAKER_02：您有没有一个时刻，让您意识到您一直在追求的方法将会取得胜利？
203 00:19:02,150 --> 00:19:07,196 说话人 SPEAKER_01：好的，在 2006 年，
204 00:19:07,632 --> 00:19:13,886 说话人 SPEAKER_01：我们通过无监督学习找到了更好的初始化权重方法，然后反向传播工作得更好了。
205 00:19:14,367 --> 00:19:18,417 说话者 SPEAKER_01：那时已经很清楚，反向传播真的会非常有效。
206 00:19:19,359 --> 00:19:35,746 说话者 SPEAKER_01：但在 2009 年，我的两位研究生乔治·达尔和阿卜杜拉·穆罕默德制作了一个更好的语音识别器，实际上是一个稍微更好的语音识别器，但它的性能略好于当时的技术水平，使用了深度神经网络。
207 00:19:36,487 --> 00:19:39,992 说话者 SPEAKER_01：然后很明显，这些东西有发展的方向。
208 00:19:40,353 --> 00:19:44,759 说话者 SPEAKER_01：接下来几年，所有大型语音集团都转向使用神经网络。
209 00:19:46,057 --> 00:19:52,147 说话人 SPEAKER_01：然后在 2012 年，语音功能在 Android 上推出，Android 突然赶上了 Siri。
210 00:19:52,568 --> 00:19:55,153 说话人 SPEAKER_01：它的语音识别和 Siri 一样好，因为它使用了神经网络。
211 00:19:56,134 --> 00:20:07,515 说话人 SPEAKER_01：同年，我的两位研究生，伊利亚·苏特科娃和安德烈·克里切夫斯基，开发了一个在识别物体和图像方面非常出色的神经网络。
212 00:20:07,935 --> 00:20:10,359 说话人 SPEAKER_01：它大幅超越了当时的最高水平。
213 00:20:10,778 --> 00:20:16,636 说话人 SPEAKER_01：我认为正是这种组合使得语音识别已经取得成效并投入生产。
214 00:20:17,461 --> 00:20:21,003 说话人 SPEAKER_01：大公司是这样做的，我认为公众对此并不十分了解。
215 00:20:21,444 --> 00:20:24,606 说话人 SPEAKER_01：但突然之间，它在计算机视觉方面的表现更好。
216 00:20:25,428 --> 00:20:27,049 说话人 SPEAKER_01：那是一个转折点。
2012 年，当我们以巨大的优势赢得 ImageNet 竞赛时，我们的错误率几乎是其他方法的一半。
这是一个公开的数据集，但有一个隐藏的测试集，所以你不能作弊。
所以让我们稍微关注一下2012年，因为你说那是一个非常重要的年份。
你能再次从高层次上描述一下 AlexNet 是如何工作的吗？
221 00:20:54,268 --> 00:20:57,133 说话人 SPEAKER_02：我认为这可能是以你的研究生命名的。
222 00:20:57,153 --> 00:21:03,962 说话人 SPEAKER_01：那是以亚历克斯·克雷齐斯维斯基的名字命名的，因为他是一位巫师级的程序员，他让这个程序运行起来。
223 00:21:04,964 --> 00:21:08,049 说话人 SPEAKER_01：伊利亚帮助了很多，但主要是亚历克斯的工作。
224 00:21:08,971 --> 00:21:13,438 说话人 SPEAKER_01：所以，我向你解释了，在解释反向传播时，你会有这些特征检测器的层级。
